Register:0,Bank:1,Name:2,Subscript:3,Default:4,DDIR:5,MIT Note:6,Bitfield:7,Value:8,Definition:9,Bitfield:10,Value:11,Definition:12,Bitfield,Value,Definition,Bitfield,Value,Definition,Bitfield,Value,Definition,Bitfield,Value,Definition,Bitfield,Value,Definition,Bitfield,Value,Definition,Bitfield,Value,Definition
8,1,REG08 ,,40,RW ,Frame Exposure One-pin Control Pre-charge Row Num,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,COM2 ,,0,RW ,Common control 2,SOFT_SLEEP_MODE,0x10,Soft sleep mode,OCAP_Nx_SET(N),(((N) - 1) & 0x03),Output drive capability  N = [1x .. 4x],,,,,,,,,,,,,,,,,,,,,
0A ,1,PIDH ,,26,R ,Product ID Number MSB ,,,,,,,,,,,,,,,,,,,,,,,,,,,
0B ,1,PIDL ,,41,R ,Product ID Number LSB,,,,,,,,,,,,,,,,,,,,,,,,,,,
0C ,1,COM3 ,,38,RW ,Common control 3,BAND_50H,0x04,0 For Banding at 60H,BAND_AUTO,0x02,,SING_FR_SNAPSH,0x01,0 For enable live video output after the  snapshot sequence,,,,,,,,,,,,,,,,,,
0D ,1,COM4 ,,7,RW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0E-0F ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,AEC ,,33,RW ,AEC[9:2] Exposure Value,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,CLKRC ,,0,RW ,Internal clock,EN ,0x80,,DIV_SET(x),(((x) - 1) & 0x1F),CLK = XVCLK/(x),,,,,,,,,,,,,,,,,,,,,
12,1,COM7 ,,0,RW ,Common control 7,SRST,0x80,Initiates system reset. All registers are set to factory default values after which the chip resumes normal operation,RES_UXGA,0x00,Resolution selectors for UXGA,RES_SVGA,0x40,SVGA,RES_CIF,0x20,CIF,ZOOM_EN,0x04,Enable Zoom ,COLOR_BAR_TEST,0x02,Enable Color Bar Test Pattern,,,,,,,,,
13,1,COM8 ,,C7 ,RW ,Common control 8,DEF,0xC0,Banding filter1,BNDF_EN,0x20,Banding filter2,AGC_EN,0x04,AGC Auto/Manual ,AEC_EN,0x01,Auto/Manual Exposure ,,,,,,,,,,,,,,,
14,1,COM9 ,,50,RW ,Common control 9 Automatic gain ceiling - maximum AGC value [7:5],AGC_GAIN_2x,0x00,,AGC_GAIN_4x,0x20,,AGC_GAIN_8x,0x40,,AGC_GAIN_16x,0x60,,AGC_GAIN_32x,0x80,100 :  32x,AGC_GAIN_64x,0xA0,101 :  64x ,AGC_GAIN_128x,0xC0, 110 : 128x,,,,,,
15,1,COM10 ,,0,RW ,Common control 10,PCLK_HREF,0x20,PCLK output qualified by HREF,PCLK_RISE,0x10,Data is updated at the rising edge of PCLK (user can latch data at the next falling edge of PCLK). 0 otherwise.,HREF_INV,0x08,Invert HREF polarity: HREF negative for valid data,VSINC_INV,0x02,Invert VSYNC polarity,,,,,,,,,,,,,,,
16,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,HREFST ,,11,RW ,Horizontal Window start MSB 8 bit = named HSTART,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,HREFEND ,,"75 (UXGA), 43 (SVGA, CIF) ",RW ,Horizontal Window end MSB 8 bit = named HEND,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,VSTRT ,,"01 (UXGA), 00 (SVGA, CIF) ",RW ,Vertical Window start MSB 8 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,
1A ,1,VEND ,,97,RW ,Vertical Window end MSB 8 bit,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1C ,1,MIDH ,,7F ,R ,Manufacturer ID byte - high,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D ,1,MIDL ,,A2 ,R ,Manufacturer ID byte - low ,,,,,,,,,,,,,,,,,,,,,,,,,,,
1E-23,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,AEW ,,78,RW ,AGC/AEC - Stable operating region (upper limit),,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,AEB ,,68,RW ,AGC/AEC - Stable operating region (lower limit),,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,VV ,,D4 ,RW ,AGC/AEC Fast mode operating region,HIGH_TH_SET,"[0,0xF, 4]",,LOW_TH_SET,"[0,0xF, 0]",,,,,,,,,,,,,,,,,,,,,,
27-29 ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A ,1,REG2A ,,0,RW ,Dummy pixel insert MSB,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B ,1,FRARL ,,0,RW ,Dummy pixel insert LSB,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D ,1,ADDVSL ,,0,RW ,LSB of insert dummy lines in Vertical direction,,,,,,,,,,,,,,,,,,,,,,,,,,,
2E ,1,ADDVSH ,,0,RW ,MSB of insert dummy lines in Vertical direction,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F ,1,YAVG ,,0,RW ,Y/G Channel Average value,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,HSDY ,,8,RW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,HEDY ,,30,RW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,REG32 ,,"36 (UXGA), 09 (SVGA, CIF) ",RW ,Common Control 32,PCLK_DIV_2,0x80,PCLK freq divided by 2,PCLK_DIV_4,0xC0,PCLK freq divided by 4,,,,,,,,,,,,,,,,,,,,,
33,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,ARCOM2 ,,20,RW ,Zoom: Horizontal start point,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44 ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,REG45 ,,0,RW ,Register 45,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,FLL ,,0,RW ,Frame Length Adjustment LSBs,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,FLH ,,0,RW ,Frame Length Adjustment MSBs,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,COM19 ,,0,RW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1,ZOOMS ,,0,RW ,Zoom: Vertical start point,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B ,1,COM22 ,,20,RW ,Flash light control,,,,,,,,,,,,,,,,,,,,,,,,,,,
4C-4D ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4E ,1,COM25 ,,0,RW ,For Banding operations,,,,,,,,,,,,,,,,,,,,,,,,,,,
4F ,1,BD50 ,,CA ,RW ,50Hz Banding AEC 8 LSBs,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,BD60 ,,A8 ,RW ,60Hz Banding AEC 8 LSBs,,,,,,,,,,,,,,,,,,,,,,,,,,,
51-5C ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5D ,1,REG5D ,,0,RW ,"AVGsel[7:0],   16-zone average weight option",,,,,,,,,,,,,,,,,,,,,,,,,,,
5E ,1,REG5E ,,0,RW ,"AVGsel[15:8],  16-zone average weight option",,,,,,,,,,,,,,,,,,,,,,,,,,,
5F ,1,REG5F ,,0,RW ,"AVGsel[23:16], 16-zone average weight option",,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1,REG60 ,,0,RW ,"AVGsel[31:24], 16-zone average weight option",,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1,HISTO_LOW ,,80,RW ,Histogram Algorithm Low Level,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,HISTO_HIGH ,,90,RW ,Histogram Algorithm High Level,,,,,,,,,,,,,,,,,,,,,,,,,,,
63-7E ,1,RSVD ,,XX ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7F-FF,1,RSVD ,,XX ,NA,Undocumented,,,,,,,,,,,,,,,,,,,,,,,,,,,
